date,progressive,conservative
19-Aug-21,12064,12400
19-Aug-22,11973,11930
19-Aug-23,11741,10714
19-Aug-24,6699,6741
19-Aug-25,6529,6818
19-Aug-26,11252,10797
19-Aug-27,11776,12103
19-Aug-28,3963,3529
19-Aug-29,7303,7557
19-Aug-30,11526,11047
19-Aug-31,6986,7185
19-Sep-01,6589,6892
19-Sep-02,8303,8680
19-Sep-03,12187,12165
19-Sep-04,12773,12432
19-Sep-05,12641,12320
19-Sep-06,12479,11675
19-Sep-07,6936,7634
19-Sep-08,6553,7003
19-Sep-09,12183,11678
19-Sep-10,13206,12764
19-Sep-11,13020,12692
19-Sep-12,13384,13131
19-Sep-13,12729,11696
19-Sep-14,7541,9083
19-Sep-15,7790,8544
19-Sep-16,11719,12354
19-Sep-17,12812,12766
19-Sep-18,13132,12716
19-Sep-19,13253,12997
19-Sep-20,12594,11580
19-Sep-21,6885,7449
19-Sep-22,7420,7797
19-Sep-23,12539,12402
19-Sep-24,13841,13061
19-Sep-25,13706,13170
19-Sep-26,13496,13032
19-Sep-27,12315,11635
19-Sep-28,6840,7596
19-Sep-29,6885,7730
19-Sep-30,12741,12747
19-Oct-01,12552,12852
19-Oct-02,13105,13252
19-Oct-03,13191,13151
19-Oct-04,12700,12122
19-Oct-05,7412,8196
19-Oct-06,6834,7849
19-Oct-07,12313,14185
19-Oct-08,11812,13270
19-Oct-09,12444,14143
19-Oct-10,12176,12111
19-Oct-11,12422,12305
19-Oct-12,6325,7231
19-Oct-13,6471,7535
19-Oct-14,10697,11397
19-Oct-15,13791,14193
19-Oct-16,13363,13582
19-Oct-17,13671,13505
19-Oct-18,12514,12070
19-Oct-19,6561,7621
19-Oct-20,6480,7250
19-Oct-21,12444,12442
19-Oct-22,12928,13764
19-Oct-23,13468,13319
19-Oct-24,13368,13412
19-Oct-25,11873,11155
19-Oct-26,6421,6601
19-Oct-27,6113,6626
19-Oct-28,9641,9440
19-Oct-29,11424,11084
19-Oct-30,13200,13643
19-Oct-31,13129,13394
19-Nov-01,12593,12100
19-Nov-02,6655,7457
19-Nov-03,3581,3854
19-Nov-04,12576,12152
19-Nov-05,13500,14273
19-Nov-06,13614,15465
19-Nov-07,13381,13851
19-Nov-08,12574,12122
19-Nov-09,6692,7407
19-Nov-10,6770,7357
19-Nov-11,11375,11771
19-Nov-12,12519,12955
19-Nov-13,11768,11924
19-Nov-14,13416,13779
19-Nov-15,13143,12378
19-Nov-16,7018,7672
19-Nov-17,6789,7597
19-Nov-18,12282,12781
19-Nov-19,13189,13975
19-Nov-20,13542,13941
19-Nov-21,12122,12731
19-Nov-22,12697,13456
19-Nov-23,6901,7586
19-Nov-24,7006,7498
19-Nov-25,12560,12730
19-Nov-26,12592,12856
19-Nov-27,12004,12307
19-Nov-28,8484,8862
19-Nov-29,9924,9341
19-Nov-30,3818,4049
19-Dec-01,3618,4463
19-Dec-02,12824,12821
