date,Center-count,Conservative-count,Progressive-count,Center-total_count,Conservative-total_count,Progressive-total_count,Center-ratio,Conservative-ratio,Progressive-ratio
"2019-03-22","7494","11129","11390","7494","11129","11390","1.0","1.0","1.0"
"2019-03-23","5803","7612","6301","5803","7612","6301","1.0","1.0","1.0"
"2019-03-24","6408","8095","6470","6408","8095","6470","1.0","1.0","1.0"
"2019-03-25","8737","12442","12228","8737","12442","12228","1.0","1.0","1.0"
"2019-03-26","7922","10945","11774","7922","10945","11774","1.0","1.0","1.0"
"2019-03-27","8884","10379","11517","8884","10379","11517","1.0","1.0","1.0"
"2019-03-28","8736","10068","11553","8736","10068","11553","1.0","1.0","1.0"
"2019-03-29","8159","8677","10406","8159","8677","10406","1.0","1.0","1.0"
"2019-03-30","6244","5555","5906","6244","5555","5906","1.0","1.0","1.0"
"2019-03-31","6445","6106","5880","6445","6106","5880","1.0","1.0","1.0"
"2019-04-01","6799","7429","8522","6799","7429","8522","1.0","1.0","1.0"
"2019-04-02","5864","7698","8195","5864","7698","8195","1.0","1.0","1.0"
"2019-04-03","7912","9017","10088","7912","9017","10088","1.0","1.0","1.0"
"2019-04-04","7618","10010","9990","7618","10010","9990","1.0","1.0","1.0"
"2019-04-05","8156","10527","11387","8156","10527","11387","1.0","1.0","1.0"
"2019-04-06","6062","6677","6813","6062","6677","6813","1.0","1.0","1.0"
"2019-04-07","5434","7505","6581","5434","7505","6581","1.0","1.0","1.0"
"2019-04-08","8222","11799","11481","8222","11799","11481","1.0","1.0","1.0"
"2019-04-09","9720","13511","13216","9720","13511","13216","1.0","1.0","1.0"
"2019-04-10","10444","13885","13465","10444","13885","13465","1.0","1.0","1.0"
"2019-04-11","10439","13769","13499","10439","13769","13499","1.0","1.0","1.0"
"2019-04-12","9969","12516","12623","9969","12516","12623","1.0","1.0","1.0"
"2019-04-13","6637","7497","7049","6637","7497","7049","1.0","1.0","1.0"
"2019-04-14","6527","7787","6780","6527","7787","6780","1.0","1.0","1.0"
"2019-04-15","9887","15355","13904","9887","15355","13904","1.0","1.0","1.0"
"2019-04-16","9595","15480","13634","9595","15480","13634","1.0","1.0","1.0"
"2019-04-17","10085","13507","13685","10085","13507","13685","1.0","1.0","1.0"
"2019-04-18","9813","13537","13704","9813","13537","13704","1.0","1.0","1.0"
"2019-04-19","10316","10688","11087","10316","10688","11087","1.0","1.0","1.0"
"2019-04-20","9014","7228","7043","9014","7228","7043","1.0","1.0","1.0"
"2019-04-21","5781","7738","6685","5781","7738","6685","1.0","1.0","1.0"
"2019-04-22","8578","11139","11458","8578","11139","11458","1.0","1.0","1.0"
"2019-04-23","9985","13155","13361","9985","13155","13361","1.0","1.0","1.0"
"2019-04-24","10139","13587","13574","10139","13587","13574","1.0","1.0","1.0"
"2019-04-25","10482","14056","13910","10482","14056","13910","1.0","1.0","1.0"
"2019-04-26","9566","12038","12677","9566","12038","12677","1.0","1.0","1.0"
"2019-04-27","6778","8154","7270","6778","8154","7270","1.0","1.0","1.0"
"2019-04-28","6540","7744","7418","6540","7744","7418","1.0","1.0","1.0"
"2019-04-29","9921","12856","13042","9921","12856","13042","1.0","1.0","1.0"
"2019-04-30","10232","13715","13833","10232","13715","13833","1.0","1.0","1.0"
"2019-05-01","9933","13629","13888","9933","13629","13888","1.0","1.0","1.0"
"2019-05-02","9895","13737","13631","9895","13737","13631","1.0","1.0","1.0"
"2019-05-03","9360","11846","12719","9360","11846","12719","1.0","1.0","1.0"
"2019-05-04","6466","7598","7392","6466","7598","7392","1.0","1.0","1.0"
"2019-05-05","6255","7924","7030","6255","7924","7030","1.0","1.0","1.0"
"2019-05-06","9960","13028","12846","9960","13028","12846","1.0","1.0","1.0"
"2019-05-07","9627","13431","12065","9627","13431","12065","1.0","1.0","1.0"
"2019-05-08","9565","13378","13190","9565","13378","13190","1.0","1.0","1.0"
"2019-05-09","8349","12396","12369","8349","12396","12369","1.0","1.0","1.0"
"2019-05-10","9485","12282","13152","9485","12282","13152","1.0","1.0","1.0"
"2019-05-11","5720","7391","6932","5720","7391","6932","1.0","1.0","1.0"
"2019-05-12","5923","7491","6776","5923","7491","6776","1.0","1.0","1.0"
"2019-05-13","9710","13359","12875","9710","13359","12875","1.0","1.0","1.0"
"2019-05-14","11107","14403","13958","11107","14403","13958","1.0","1.0","1.0"
"2019-05-15","10962","15339","14717","10962","15339","14717","1.0","1.0","1.0"
"2019-05-16","10124","13530","14008","10124","13530","14008","1.0","1.0","1.0"
"2019-05-17","9133","11934","12835","9133","11934","12835","1.0","1.0","1.0"
"2019-05-18","6034","7187","7326","6034","7187","7326","1.0","1.0","1.0"
"2019-05-19","6416","7281","6984","6416","7281","6984","1.0","1.0","1.0"
"2019-05-20","9403","12296","12340","9403","12296","12340","1.0","1.0","1.0"
"2019-05-21","10322","13107","13692","10322","13107","13692","1.0","1.0","1.0"
"2019-05-22","10420","14143","14436","10420","14143","14436","1.0","1.0","1.0"
"2019-05-23","10016","13211","13865","10016","13211","13865","1.0","1.0","1.0"
"2019-05-24","9640","12936","13066","9640","12936","13066","1.0","1.0","1.0"
"2019-05-25","6662","7628","7202","6662","7628","7202","1.0","1.0","1.0"
"2019-05-26","6447","6894","7068","6447","6894","7068","1.0","1.0","1.0"
"2019-05-27","6915","8686","8679","6915","8686","8679","1.0","1.0","1.0"
"2019-05-28","10119","14578","13174","10119","14578","13174","1.0","1.0","1.0"
"2019-05-29","12017","16188","14570","12017","16188","14570","1.0","1.0","1.0"
"2019-05-30","9983","13217","13606","9983","13217","13606","1.0","1.0","1.0"
"2019-05-31","9920","12125","13022","9920","12125","13022","1.0","1.0","1.0"
"2019-06-01","6080","7359","7154","6080","7359","7154","1.0","1.0","1.0"
"2019-06-02","5914","7491","7027","5914","7491","7027","1.0","1.0","1.0"
"2019-06-03","9461","12631","13055","9461","12631","13055","1.0","1.0","1.0"
"2019-06-04","10403","13657","13838","10403","13657","13838","1.0","1.0","1.0"
"2019-06-05","9731","13321","13853","9731","13321","13853","1.0","1.0","1.0"
"2019-06-06","9900","13752","13589","9900","13752","13589","1.0","1.0","1.0"
"2019-06-07","9594","11648","12698","9594","11648","12698","1.0","1.0","1.0"
"2019-06-08","6019","7328","7059","6019","7328","7059","1.0","1.0","1.0"
"2019-06-09","6054","7075","6653","6054","7075","6653","1.0","1.0","1.0"
"2019-06-10","9050","12257","12606","9050","12257","12606","1.0","1.0","1.0"
"2019-06-11","9603","13221","13595","9603","13221","13595","1.0","1.0","1.0"
"2019-06-12","9881","13287","14151","9881","13287","14151","1.0","1.0","1.0"
"2019-06-13","9774","12907","14010","9774","12907","14010","1.0","1.0","1.0"
"2019-06-14","9310","11330","12687","9310","11330","12687","1.0","1.0","1.0"
"2019-06-15","6314","7436","8017","6314","7436","8017","1.0","1.0","1.0"
"2019-06-16","5621","6997","6556","5621","6997","6556","1.0","1.0","1.0"
"2019-06-17","9223","12541","12731","9223","12541","12731","1.0","1.0","1.0"
"2019-06-18","9698","13197","13247","9698","13197","13247","1.0","1.0","1.0"
"2019-06-19","11640","14131","13977","11640","14131","13977","1.0","1.0","1.0"
"2019-06-20","10200","13107","13468","10200","13107","13468","1.0","1.0","1.0"
"2019-06-21","9397","11880","12618","9397","11880","12618","1.0","1.0","1.0"
"2019-06-22","5096","7015","6361","5096","7015","6361","1.0","1.0","1.0"
"2019-06-23","7833","9417","8272","7833","9417","8272","1.0","1.0","1.0"
"2019-06-24","10477","12835","13175","10477","12835","13175","1.0","1.0","1.0"
"2019-06-25","9170","13550","13028","9170","13550","13028","1.0","1.0","1.0"
"2019-06-26","10476","13123","13616","10476","13123","13616","1.0","1.0","1.0"
"2019-06-27","9760","13269","14028","9760","13269","14028","1.0","1.0","1.0"
"2019-06-28","9787","12030","12868","9787","12030","12868","1.0","1.0","1.0"
"2019-06-29","6546","7878","7049","6546","7878","7049","1.0","1.0","1.0"
"2019-06-30","6747","7942","7259","6747","7942","7259","1.0","1.0","1.0"
"2019-07-01","9978","12780","12091","9978","12780","12091","1.0","1.0","1.0"
"2019-07-02","10173","12692","12467","10173","12692","12467","1.0","1.0","1.0"
"2019-07-03","9535","11978","12689","9535","11978","12689","1.0","1.0","1.0"
"2019-07-04","7299","9028","8926","7299","9028","8926","1.0","1.0","1.0"
"2019-07-05","7877","10050","9869","7877","10050","9869","1.0","1.0","1.0"
"2019-07-06","6658","7714","7210","6658","7714","7210","1.0","1.0","1.0"
"2019-07-07","6275","7964","7197","6275","7964","7197","1.0","1.0","1.0"
"2019-07-08","10356","13064","12393","10356","13064","12393","1.0","1.0","1.0"
