date,All-count,Conservative-count,Progressive-count,All-total_count,Conservative-total_count,Progressive-total_count,All-ratio,Conservative-ratio,Progressive-ratio
"2019-03-08","41","33","5","38841","13824","14003","0.0010555855925439613","0.002387152777777778","0.00035706634292651576"
"2019-03-09","33","31","2","24178","9459","7782","0.001364877161055505","0.0032773020403848185","0.00025700334104343357"
"2019-03-10","35","32","2","24216","9594","7679","0.0014453254046911132","0.003335417969564311","0.0002604505795025394"
"2019-03-11","38","36","2","32972","12612","11197","0.001152493024384326","0.0028544243577545195","0.00017861927301955882"
"2019-03-12","16","12","4","38695","14787","14049","0.00041349011500193823","0.0008115236356258876","0.0002847177735070112"
"2019-03-13","10","9","1","38654","13763","13866","0.0002587054379883065","0.0006539271961055002","7.211885186787827e-05"
"2019-03-14","17","14","2","35248","12642","13008","0.000482296867907399","0.0011074197120708748","0.00015375153751537516"
"2019-03-15","26","17","5","42844","15763","14950","0.0006068527681822426","0.0010784749095984268","0.00033444816053511704"
"2019-03-16","15","13","1","28136","11530","8515","0.0005331248222917259","0.0011274934952298352","0.00011743981209630065"
"2019-03-17","27","26","1","31568","12452","8728","0.000855296502787633","0.0020880179890780596","0.00011457378551787351"
"2019-03-18","27","22","3","33985","14260","11086","0.000794468147712226","0.0015427769985974754","0.0002706115821757171"
"2019-03-19","16","16","0","38427","14021","13403","0.0004163739037655815","0.0011411454247200628","0"
"2019-03-20","22","17","5","37828","13188","13626","0.0005815797821719361","0.001289050652107977","0.0003669455452810803"
"2019-03-21","23","22","0","36112","13707","12270","0.0006369073992024812","0.0016050193331874224","0"
"2019-03-22","25","23","2","30013","11129","11390","0.0008329723786359244","0.0020666726570221943","0.0001755926251097454"
"2019-03-23","10","10","0","19716","7612","6301","0.0005072022722661798","0.0013137151865475565","0"
"2019-03-24","8","5","2","20973","8095","6470","0.0003814428074190626","0.0006176652254478073","0.0003091190108191654"
"2019-03-25","18","14","4","33407","12442","12228","0.0005388092315981681","0.001125221025558592","0.00032711808963035657"
"2019-03-26","15","15","0","30641","10945","11774","0.0004895401586110114","0.0013704888076747374","0"
"2019-03-27","10","8","2","30780","10379","11517","0.0003248862897985705","0.0007707871663936795","0.00017365633411478684"
"2019-03-28","10","9","1","30357","10068","11553","0.0003294133148861877","0.0008939213349225268","8.655760408551892e-05"
"2019-03-29","24","18","3","27242","8677","10406","0.0008809925849790764","0.0020744496945949062","0.00028829521429944266"
"2019-03-30","12","12","0","17705","5555","5906","0.0006777746399322226","0.00216021602160216","0"
"2019-03-31","14","13","1","18431","6106","5880","0.0007595898214963919","0.0021290533901080905","0.00017006802721088434"
"2019-04-01","6","3","2","22750","7429","8522","0.0002637362637362637","0.00040382285637367073","0.0002346866932644919"
"2019-04-02","17","16","0","21757","7698","8195","0.0007813577239509123","0.0020784619381657575","0"
"2019-04-03","12","12","0","27017","9017","10088","0.00044416478513528517","0.0013308195630475769","0"
"2019-04-04","26","24","1","27618","10010","9990","0.000941415019190383","0.0023976023976023976","0.0001001001001001001"
"2019-04-05","23","18","2","30070","10527","11387","0.0007648819421350182","0.0017098888572242804","0.0001756388864494599"
"2019-04-06","6","5","1","19552","6677","6813","0.00030687397708674305","0.0007488392990864161","0.0001467782181124321"
"2019-04-07","6","5","1","19520","7505","6581","0.0003073770491803279","0.0006662225183211193","0.000151952590791673"
"2019-04-08","13","11","1","31502","11799","11481","0.0004126722112881722","0.0009322823968132892","8.710042679209128e-05"
"2019-04-09","21","12","6","36447","13511","13216","0.0005761791093917194","0.0008881651987269632","0.0004539951573849879"
"2019-04-10","17","15","2","37794","13885","13465","0.0004498068476477748","0.0010803024846957148","0.00014853323431117713"
"2019-04-11","12","12","0","37707","13769","13499","0.0003182432970005569","0.0008715229864187668","0"
