date,All-count,Conservative-count,Progressive-count,All-total_count,Conservative-total_count,Progressive-total_count,All-ratio,Conservative-ratio,Progressive-ratio
"2019-02-26","161","118","26","39495","14251","13977","0.00407646537536397","0.008280120693284682","0.0018601988981898833"
"2019-02-27","94","70","20","49201","22761","14743","0.0019105302737749232","0.0030754360528975","0.0013565760021705215"
"2019-02-28","131","97","22","57830","29130","16581","0.0022652602455472937","0.0033299004462753177","0.001326819854049816"
"2019-03-01","209","120","69","36471","12516","13384","0.005730580461188342","0.009587727708533078","0.005155409444112373"
"2019-03-02","156","77","57","22490","8093","7428","0.006936416184971098","0.00951439515630792","0.007673667205169628"
"2019-03-03","119","95","20","29802","11020","9940","0.003993020602644118","0.008620689655172414","0.002012072434607646"
"2019-03-04","156","118","23","37437","13743","13037","0.004167000560942383","0.008586189332751218","0.0017642095574135154"
"2019-03-05","141","97","35","40292","15122","13867","0.003499453985902909","0.006414495437111493","0.002523977788995457"
"2019-03-06","105","69","30","47786","20241","15562","0.002197296279244967","0.0034089224840669926","0.0019277727798483486"
"2019-03-07","112","78","24","42272","16144","14834","0.0026495079485238456","0.004831516352824579","0.0016179048132668194"
"2019-03-08","128","74","40","38841","13824","14003","0.003295486727942123","0.00535300925925926","0.002856530743412126"
"2019-03-09","83","62","16","24178","9459","7782","0.003432872859624452","0.006554604080769637","0.0020560267283474686"
"2019-03-10","115","91","17","24216","9594","7679","0.0047489263296993725","0.009485094850948509","0.002213829925771585"
"2019-03-11","168","99","43","32972","12612","11197","0.0050952323183307046","0.00784966698382493","0.0038403143699205144"
"2019-03-12","143","105","26","38695","14787","14049","0.003695567902829823","0.007100831811726517","0.0018506655277955727"
"2019-03-13","76","51","18","38654","13763","13866","0.0019661613287111296","0.003705587444597835","0.0012981393336218088"
"2019-03-14","115","77","30","35248","12642","13008","0.0032625964593735817","0.006090808416389812","0.0023062730627306273"
"2019-03-15","121","83","23","42844","15763","14950","0.002824199421155821","0.005265495146862907","0.0015384615384615385"
"2019-03-16","56","42","11","28136","11530","8515","0.00199033266988911","0.003642671292281006","0.001291837933059307"
"2019-03-17","76","60","9","31568","12452","8728","0.00240750126710593","0.004818503051718599","0.0010311640696608615"
"2019-03-18","94","77","12","33985","14260","11086","0.002765926143887009","0.005399719495091164","0.0010824463287028685"
"2019-03-19","105","68","28","38427","14021","13403","0.0027324537434616283","0.0048498680550602665","0.0020890845333134374"
"2019-03-20","77","58","17","37828","13188","13626","0.0020355292376017763","0.004397937518956627","0.001247614853955673"
"2019-03-21","106","69","19","36112","13707","12270","0.0029353123615418696","0.005033924272269643","0.0015484922575387122"
"2019-03-22","73","51","18","30013","11129","11390","0.0024322793456168995","0.004582621978614431","0.0015803336259877085"
"2019-03-23","39","24","11","19716","7612","6301","0.001978088861838101","0.0031529164477141357","0.0017457546421202983"
"2019-03-24","34","28","5","20973","8095","6470","0.001621131931531016","0.0034589252625077207","0.0007727975270479134"
"2019-03-25","67","45","20","33407","12442","12228","0.002005567695393181","0.0036167818678669024","0.0016355904481517827"
"2019-03-26","192","130","45","30641","10945","11774","0.006266114030220946","0.01187756966651439","0.0038219806352981145"
"2019-03-27","128","91","30","30780","10379","11517","0.004158544509421702","0.008767704017728105","0.0026048450117218025"
"2019-03-28","72","49","18","30357","10068","11553","0.0023717758671805513","0.004866905045689313","0.0015580368735393405"
"2019-03-29","92","63","17","27242","8677","10406","0.003377138242419793","0.007260573931082172","0.0016336728810301749"
"2019-03-30","63","48","9","17705","5555","5906","0.0035583168596441685","0.00864086408640864","0.0015238740264138164"
"2019-03-31","35","31","4","18431","6106","5880","0.0018989745537409798","0.005076973468719293","0.0006802721088435374"
"2019-04-01","31","28","3","22750","7429","8522","0.0013626373626373627","0.00376901332615426","0.00035203003989673785"
"2019-04-02","60","41","13","21757","7698","8195","0.002757733143356161","0.005326058716549753","0.0015863331299572911"
"2019-04-03","71","43","22","27017","9017","10088","0.0026279749787171043","0.004768770100920483","0.0021808088818398097"
"2019-04-04","87","63","15","27618","10010","9990","0.003150119487290897","0.006293706293706294","0.0015015015015015015"
"2019-04-05","63","46","13","30070","10527","11387","0.002095111406717659","0.00436971596846205","0.0011416527619214894"
"2019-04-06","21","14","7","19552","6677","6813","0.0010740589198036006","0.002096750037441965","0.0010274475267870247"
"2019-04-07","26","15","7","19520","7505","6581","0.001331967213114754","0.001998667554963358","0.001063668135541711"
"2019-04-08","49","33","12","31502","11799","11481","0.0015554567963938799","0.0027968471904398677","0.0010452051215050953"
"2019-04-09","49","35","10","36447","13511","13216","0.001344417921914012","0.0025904818296203095","0.0007566585956416465"
"2019-04-10","67","48","15","37794","13885","13465","0.001772768164258877","0.0034569679510262873","0.0011139992573338284"
"2019-04-11","36","21","13","37707","13769","13499","0.0009547298910016707","0.001525165226232842","0.0009630342988369509"
"2019-04-12","78","28","39","35108","12516","12623","0.0022217158482397176","0.0022371364653243847","0.003089598352214212"
"2019-04-13","21","12","7","21183","7497","7049","0.000991360997025917","0.001600640256102441","0.0009930486593843098"
"2019-04-14","18","12","6","21094","7787","6780","0.0008533232198729496","0.0015410299216643123","0.0008849557522123894"
"2019-04-15","77","48","20","39146","15355","13904","0.001966995350738262","0.0031260175838489094","0.0014384349827387803"
"2019-04-16","72","36","27","38709","15480","13634","0.001860032550569635","0.002325581395348837","0.001980343259498313"
"2019-04-17","61","46","13","37277","13507","13685","0.0016363977787912118","0.0034056415192122605","0.0009499451954694922"
"2019-04-18","42","25","12","37054","13537","13704","0.0011334808657634803","0.001846790278495974","0.0008756567425569177"
"2019-04-19","29","24","4","32091","10688","11087","0.0009036801595462903","0.002245508982035928","0.0003607828988905926"
"2019-04-20","20","15","4","23285","7228","7043","0.0008589220528237063","0.002075262866629773","0.0005679397983813716"
"2019-04-21","31","21","8","20204","7738","6685","0.0015343496337358938","0.0027138795554406824","0.0011967090501121915"
"2019-04-22","53","37","10","31175","11139","11458","0.0017000801924619087","0.003321662626806715","0.0008727526618956188"
"2019-04-23","57","40","13","36501","13155","13361","0.001561601052025972","0.003040668947168377","0.000972981064291595"
"2019-04-24","44","23","18","37300","13587","13574","0.0011796246648793566","0.0016927945830573343","0.0013260645351407102"
"2019-04-25","95","50","28","38448","14056","13910","0.002470869746150645","0.0035571997723392148","0.00201294033069734"
"2019-04-26","59","30","18","34281","12038","12677","0.001721069980455646","0.002492108323641801","0.001419894296757908"
"2019-04-27","45","16","11","22202","8154","7270","0.0020268444284298713","0.0019622271277900416","0.001513067400275103"
"2019-04-28","60","33","22","21702","7744","7418","0.002764722145424385","0.004261363636363636","0.0029657589646805067"
"2019-04-29","100","56","37","35819","12856","13042","0.0027918144001786763","0.0043559427504667085","0.002836988191995093"
"2019-04-30","44","35","8","37780","13715","13833","0.0011646373742721016","0.0025519504192489974","0.0005783271886069544"
"2019-05-01","61","34","20","37450","13629","13888","0.0016288384512683578","0.002494680460782156","0.0014400921658986176"
"2019-05-02","46","27","14","37263","13737","13631","0.0012344685076349194","0.0019654946494867876","0.00102707064778813"
"2019-05-03","41","25","13","33925","11846","12719","0.001208548268238762","0.0021104170184028364","0.0010220929318342637"
"2019-05-04","36","17","16","21456","7598","7392","0.0016778523489932886","0.002237430902869176","0.0021645021645021645"
"2019-05-05","22","14","8","21209","7924","7030","0.0010372954877646283","0.0017667844522968198","0.0011379800853485065"
"2019-05-06","47","22","17","35834","13028","12846","0.0013116035050510688","0.0016886705557261283","0.0013233691421454148"
"2019-05-07","49","33","13","35123","13431","12065","0.001395097229735501","0.002457002457002457","0.0010774968918358888"
"2019-05-08","29","15","12","36133","13378","13190","0.000802590429801013","0.0011212438331589176","0.0009097801364670204"
"2019-05-09","39","23","11","33114","12396","12369","0.0011777495923174488","0.0018554372378186512","0.0008893200743794971"
"2019-05-10","40","26","13","34919","12282","13152","0.0011455081760646066","0.0021169190685556096","0.0009884428223844283"
"2019-05-11","17","14","3","20043","7391","6932","0.0008481764206955047","0.0018941956433500204","0.00043277553375649163"
"2019-05-12","24","14","9","20190","7491","6776","0.001188707280832095","0.001868909357896142","0.0013282172373081465"
"2019-05-13","79","50","25","35944","13359","12875","0.002197863342977966","0.0037427951193951645","0.001941747572815534"
"2019-05-14","92","54","26","39468","14403","13958","0.002331002331002331","0.0037492189127265154","0.0018627310502937384"
"2019-05-15","64","35","17","41018","15339","14717","0.0015602906041250182","0.002281765434513332","0.0011551267241965075"
"2019-05-16","46","23","21","37662","13530","14008","0.0012213902607402687","0.0016999260901699926","0.001499143346659052"
"2019-05-17","60","29","22","33902","11934","12835","0.001769807091027078","0.002430031841796548","0.0017140631086871834"
"2019-05-18","24","15","7","20547","7187","7326","0.0011680537304716017","0.0020871017114234033","0.0009555009555009555"
"2019-05-19","22","16","6","20681","7281","6984","0.001063778347275277","0.002197500343359429","0.000859106529209622"
"2019-05-20","43","25","13","34039","12296","12340","0.0012632568524339727","0.002033181522446324","0.001053484602917342"
"2019-05-21","40","28","12","37121","13107","13692","0.0010775571778777512","0.0021362630655374993","0.0008764241893076249"
"2019-05-22","38","22","11","38999","14143","14436","0.00097438395856304","0.0015555398430318885","0.0007619839290662233"
"2019-05-23","23","11","12","37092","13211","13865","0.0006200798015744635","0.0008326394671107411","0.0008654886404615939"
"2019-05-24","186","135","25","35642","12936","13066","0.00521856237023736","0.010435992578849721","0.0019133629266799327"
"2019-05-25","15","6","8","21492","7628","7202","0.0006979341150195422","0.0007865757734661773","0.0011108025548458762"
"2019-05-26","45","17","22","20409","6894","7068","0.002204909598706453","0.0024659123875834057","0.00311262026032824"
"2019-05-27","77","21","38","24280","8686","8679","0.003171334431630972","0.002417683628827999","0.004378384606521488"
"2019-05-28","78","49","24","37871","14578","13174","0.0020596234585830847","0.0033612292495541225","0.0018217701533323211"
"2019-05-29","69","39","20","42775","16188","14570","0.0016130917592051433","0.0024091919940696814","0.0013726835964310226"
"2019-05-30","29","17","8","36806","13217","13606","0.0007879150138564364","0.0012862222894756753","0.0005879758929883875"
"2019-05-31","59","26","24","35067","12125","13022","0.0016824935124190835","0.0021443298969072164","0.0018430348640761788"
"2019-06-01","15","12","2","20593","7359","7154","0.000728402855339193","0.0016306563391765185","0.0002795638803466592"
"2019-06-02","25","17","6","20432","7491","7027","0.0012235708692247456","0.0022693899345881726","0.0008538494378824534"
"2019-06-03","42","24","15","35147","12631","13055","0.0011949810794662419","0.0019000870873248357","0.0011489850631941786"
"2019-06-04","56","35","20","37898","13657","13838","0.0014776505356483192","0.0025627883136852894","0.0014452955629426219"
"2019-06-05","34","24","10","36905","13321","13853","0.0009212843788104593","0.0018016665415509347","0.0007218652999350321"
"2019-06-06","25","13","10","37241","13752","13589","0.0006713031336430279","0.0009453170447934846","0.0007358893222459342"
"2019-06-07","46","27","17","33940","11648","12698","0.0013553329404832057","0.0023179945054945055","0.0013387935107891007"
"2019-06-08","20","13","7","20406","7328","7059","0.0009801038910124474","0.0017740174672489083","0.0009916418756197763"
"2019-06-09","25","8","15","19782","7075","6653","0.0012637751491254676","0.0011307420494699647","0.0022546219750488503"
"2019-06-10","38","28","9","33913","12257","12606","0.0011205142570695603","0.002284408909194746","0.0007139457401237506"
"2019-06-11","26","15","9","36419","13221","13595","0.0007139130673549521","0.0011345586566825505","0.0006620080912100037"
"2019-06-12","43","18","18","37319","13287","14151","0.0011522280875693347","0.0013547076089410702","0.0012719949120203519"
"2019-06-13","31","18","11","36691","12907","14010","0.0008448938431768008","0.0013945920818160687","0.0007851534618129908"
"2019-06-14","44","19","19","33327","11330","12687","0.0013202508476610555","0.001676963812886143","0.0014975959643729801"
"2019-06-15","14","4","9","21767","7436","8017","0.0006431754490742867","0.0005379236148466917","0.00112261444430585"
"2019-06-16","21","17","4","19174","6997","6556","0.00109523312819443","0.0024296126911533514","0.0006101281269066504"
"2019-06-17","16","9","7","34495","12541","12731","0.0004638353384548485","0.0007176461207240252","0.0005498389757285367"
"2019-06-18","31","16","13","36142","13197","13247","0.0008577278512533894","0.0012123967568386754","0.0009813542688910696"
"2019-06-19","43","26","14","39748","14131","13977","0.0010818154372547047","0.0018399264029438822","0.0010016455605637833"
"2019-06-20","19","12","6","36775","13107","13468","0.0005166553365057784","0.0009155413138017853","0.0004455004455004455"
"2019-06-21","30","23","5","33895","11880","12618","0.0008850862959138516","0.001936026936026936","0.0003962593120938342"
"2019-06-22","17","14","3","18472","7015","6361","0.0009203118233001299","0.0019957234497505346","0.00047162395849709165"
"2019-06-23","19","11","8","25522","9417","8272","0.000744455763654886","0.001168100244239142","0.0009671179883945841"
