date,progressive,conservative
2019-09-03,12187,12165
2019-09-04,12773,12432
2019-09-05,12641,12320
2019-09-06,12479,11675
2019-09-07,6936,7634
2019-09-08,6553,7003
2019-09-09,12183,11678
2019-09-10,13206,12764
2019-09-11,13020,12692
2019-09-12,13384,13131
2019-09-13,12729,11696
2019-09-14,7541,9083
2019-09-15,7790,8544
2019-09-16,11719,12354
2019-09-17,12812,12766
2019-09-18,13132,12716
2019-09-19,13253,12997
2019-09-20,12594,11580
2019-09-21,6885,7449
2019-09-22,7420,7797
2019-09-23,12539,12402
2019-09-24,13841,13061
2019-09-25,13706,13170
2019-09-26,13496,13032
2019-09-27,12315,11635
2019-09-28,6840,7596
2019-09-29,6885,7730
2019-09-30,12741,12747
2019-10-01,12552,12852
2019-10-02,13105,13252
2019-10-03,13191,13151
2019-10-04,12700,12122
2019-10-05,7412,8196
2019-10-06,6834,7849
2019-10-07,12313,14185
2019-10-08,11812,13270
2019-10-09,12444,14143
2019-10-10,12176,12111
2019-10-11,12422,12305
2019-10-12,6325,7231
2019-10-13,6471,7535
2019-10-14,10697,11397
2019-10-15,13791,14193
2019-10-16,13363,13582
2019-10-17,13671,13505
2019-10-18,12514,12070
2019-10-19,6561,7621
2019-10-20,6480,7250
2019-10-21,12444,12442
2019-10-22,12928,13764
2019-10-23,13468,13319
2019-10-24,13368,13412
2019-10-25,11873,11155
2019-10-26,6421,6601
2019-10-27,6113,6626
2019-10-28,9641,9440
2019-10-29,11424,11084
2019-10-30,13200,13643
2019-10-31,13129,13394
2019-11-01,12593,12100
2019-11-02,6655,7457
2019-11-03,3581,3854
2019-11-04,12576,12152
2019-11-05,13500,14273
2019-11-06,13614,15465
2019-11-07,13381,13851
2019-11-08,12574,12122
2019-11-09,6692,7407
2019-11-10,6770,7357
2019-11-11,11375,11771
2019-11-12,12519,12955
2019-11-13,11768,11924
2019-11-14,13416,13779
2019-11-15,13143,12378
2019-11-16,7018,7672
2019-11-17,6789,7597
2019-11-18,12282,12781
2019-11-19,13189,13975
2019-11-20,13542,13941
2019-11-21,12122,12731
2019-11-22,12697,13456
2019-11-23,6901,7586
2019-11-24,7006,7498
2019-11-25,12560,12730
2019-11-26,12592,12856
2019-11-27,12004,12307
2019-11-28,8484,8862
2019-11-29,9924,9341
2019-11-30,3818,4049
