date,All-count,Conservative-count,Progressive-count,All-total_count,Conservative-total_count,Progressive-total_count,All-ratio,Conservative-ratio,Progressive-ratio
12/10/19,82,54,17,35579,13633,13190,0.00230473,0.003960977,0.001288855
12/11/19,86,62,18,35193,13321,13153,0.002443668,0.004654305,0.001368509
12/12/19,116,84,18,36902,13585,13259,0.003143461,0.00618329,0.001357568
12/13/19,151,100,33,32952,12171,11630,0.004582423,0.008216252,0.002837489
12/14/19,65,47,13,19218,7043,6628,0.003382246,0.006673293,0.001961376
12/15/19,79,63,10,20256,7829,6724,0.003900079,0.008047005,0.00148721
12/16/19,99,73,19,31993,12235,11484,0.003094427,0.00596649,0.001654476
12/17/19,94,58,25,34472,13121,12289,0.002726851,0.004420395,0.00203434
12/18/19,168,97,45,35668,13560,12895,0.004710104,0.007153392,0.003489725
12/19/19,73,50,16,34939,13213,12461,0.002089356,0.003784152,0.001284006
12/20/19,66,49,11,31109,11274,11432,0.002121573,0.004346283,0.000962211
12/21/19,51,30,15,18808,6974,6481,0.002711612,0.004301692,0.002314458
12/22/19,40,32,6,18851,7052,6092,0.002121903,0.00453772,0.000984898
12/23/19,75,66,8,28552,10520,10048,0.002626786,0.006273764,0.000796178
12/24/19,62,49,7,22315,8333,7782,0.0027784,0.005880235,0.000899512
12/25/19,21,12,8,15015,5719,4997,0.001398601,0.002098269,0.001600961
12/26/19,116,79,17,27159,10432,8970,0.004271144,0.007572853,0.001895206
12/27/19,52,36,13,24802,8882,9011,0.002096605,0.004053141,0.001442681
12/28/19,34,26,6,17089,6542,5671,0.001989584,0.00397432,0.001058014
12/29/19,31,22,6,18425,7138,6147,0.001682497,0.003082096,0.000976086
12/30/19,97,68,18,28803,10883,9944,0.003367705,0.006248277,0.001810137
12/31/19,113,85,11,28745,10911,9484,0.003931118,0.007790303,0.001159848
